Label,TMin,TMax,XMin,XMax,YMin,YMax,Note
randcov_w01_n12_s42_k50,1596200108,1596201324,111.788384,127.462201,28.777820,38.854327,"bench-validated full_keys>=50 on verify_wuxi_segment_1sst; attempts=3; envelope_dense_excludes=['early_t_slice', 'late_t_slice', 'mid_t_slice', 'wide_baseline']"
randcov_w02_n12_s42_k50,1596200823,1596201975,107.710076,127.455626,29.428026,35.180281,"bench-validated full_keys>=50 on verify_wuxi_segment_1sst; attempts=24; envelope_dense_excludes=['early_t_slice', 'late_t_slice', 'mid_t_slice', 'wide_baseline']"
randcov_w03_n12_s42_k50,1596200676,1596201690,117.101524,140.270696,29.692983,42.545531,"bench-validated full_keys>=50 on verify_wuxi_segment_1sst; attempts=63; envelope_dense_excludes=['early_t_slice', 'late_t_slice', 'mid_t_slice', 'wide_baseline']"
randcov_w04_n12_s42_k50,1596200998,1596202059,106.892726,127.645510,27.709286,35.792035,"bench-validated full_keys>=50 on verify_wuxi_segment_1sst; attempts=16; envelope_dense_excludes=['early_t_slice', 'late_t_slice', 'mid_t_slice', 'wide_baseline']"
randcov_w05_n12_s42_k50,1596200924,1596202134,115.949868,137.379483,27.582994,33.081350,"bench-validated full_keys>=50 on verify_wuxi_segment_1sst; attempts=15; envelope_dense_excludes=['early_t_slice', 'late_t_slice', 'mid_t_slice', 'wide_baseline']"
randcov_w06_n12_s42_k50,1596200408,1596201458,113.429985,128.156512,30.027053,36.569551,"bench-validated full_keys>=50 on verify_wuxi_segment_1sst; attempts=30; envelope_dense_excludes=['early_t_slice', 'late_t_slice', 'mid_t_slice', 'wide_baseline']"
randcov_w07_n12_s42_k50,1596202034,1596203254,109.506552,132.469948,24.228188,36.854220,"bench-validated full_keys>=50 on verify_wuxi_segment_1sst; attempts=14; envelope_dense_excludes=['early_t_slice', 'late_t_slice', 'mid_t_slice', 'wide_baseline']"
randcov_w08_n12_s42_k50,1596200942,1596202087,117.861546,131.898587,21.392718,33.069670,"bench-validated full_keys>=50 on verify_wuxi_segment_1sst; attempts=49; envelope_dense_excludes=['early_t_slice', 'late_t_slice', 'mid_t_slice', 'wide_baseline']"
randcov_w09_n12_s42_k50,1596200467,1596201715,115.821820,130.673254,29.846646,32.801492,"bench-validated full_keys>=50 on verify_wuxi_segment_1sst; attempts=6; envelope_dense_excludes=['early_t_slice', 'late_t_slice', 'mid_t_slice', 'wide_baseline']"
randcov_w10_n12_s42_k50,1596200154,1596201293,106.342861,124.719042,31.190011,43.454008,"bench-validated full_keys>=50 on verify_wuxi_segment_1sst; attempts=20; envelope_dense_excludes=['early_t_slice', 'late_t_slice', 'mid_t_slice', 'wide_baseline']"
randcov_w11_n12_s42_k50,1596200654,1596201508,107.804011,130.247757,23.408211,36.454582,"bench-validated full_keys>=50 on verify_wuxi_segment_1sst; attempts=60; envelope_dense_excludes=['early_t_slice', 'late_t_slice', 'mid_t_slice', 'wide_baseline']"
randcov_w12_n12_s42_k50,1596201428,1596202519,112.724963,128.378450,25.163983,38.220364,"bench-validated full_keys>=50 on verify_wuxi_segment_1sst; attempts=23; envelope_dense_excludes=['early_t_slice', 'late_t_slice', 'mid_t_slice', 'wide_baseline']"
